Column1,Column2,Column3,Column4,Column5
Generated on: 2025-06-18,,,,
Course Code,Faculty Initial,Section,Seats,Time
CSE101,TBA,26,0/0,S 10:10 AM - 11:40 AM
CSE101,TBA,27,0/0,T 08:30 AM - 10:00 AM
CSE101,TBA,27,0/0,R 08:30 AM - 10:00 AM
CSE101,TBA,28,0/0,R 04:50 PM - 06:20 PM
CSE101,TBA,28,0/0,T 04:50 PM - 06:20 PM
CSE101,TBA,29,0/0,R 03:10 PM - 04:40 PM
CSE101,TBA,29,0/0,T 03:10 PM - 04:40 PM
CSE101,TBA,30,0/0,T 03:10 PM - 04:40 PM
CSE101,TBA,30,0/0,R 03:10 PM - 04:40 PM
CSE101,TBA,31,0/0,R 04:50 PM - 06:20 PM
CSE101,TBA,31,0/0,T 04:50 PM - 06:20 PM
CSE102,KMSK,1,30/30,W 04:50 PM - 06:20 PM
CSE102,KMSK,1,30/30,M 04:50 PM - 06:20 PM
CSE103,TJ,1,25/25,MW 01:30 PM - 03:00 PM
CSE103,TJ,1,25/25,S 03:10 PM - 06:10 PM
CSE103,TJ,2,25/25,T 03:10 PM - 06:10 PM
CSE103,TJ,2,25/25,MW 03:10 PM - 04:40 PM
CSE103,MI,3,25/25,MW 10:10 AM - 11:40 AM
CSE103,MI,3,25/25,S 10:10 AM - 01:10 PM
CSE103,MI,4,23/25,T 10:10 AM - 01:10 PM
